Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification,CIK
LONE,Lonestar Resources US Inc.,9.07,223458741.89,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lone,microcap,1661920
LRAD,LRAD Corporation,3.41,112314218.61,,,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/lrad,microcap,924383
LXU,Lsb Industries Inc.,7.11,203442432.93,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lxu,microcap,60714
LYTS,LSI Industries Inc.,5.37,138949738.08,,1985.0,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/lyts,microcap,763532
LUB,"Luby&#39;s, Inc.",2.13,62842757.46,,,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/lub,microcap,16099
LUNA,Luna Innovations Incorporated,3.65,101952789.15,,2006.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/luna,microcap,1239819
MBTF,M B T Financial Corp,11.3,259718307.3,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mbtf,microcap,1118237
MFNC,Mackinac Financial Corporation,16.2,173546469.0,,,Finance,Major Banks,https://www.nasdaq.com/symbol/mfnc,microcap,36506
MFD,Macquarie First Trust Global,11.0,94021862.0,,2004.0,,,https://www.nasdaq.com/symbol/mfd,microcap,
MGU,Macquarie Global Infrastructure Total Return Fund Inc.,22.04,274801177.72,,2005.0,,,https://www.nasdaq.com/symbol/mgu,microcap,
MCN,Madison Covered Call & Equity Strategy Fund,7.82,150679067.86,,2004.0,,,https://www.nasdaq.com/symbol/mcn,microcap,
MSP,Madison Strategic Sector Premium Fund,11.96,69347560.36,,2005.0,,,https://www.nasdaq.com/symbol/msp,microcap,
MAGS,Magal Security Systems Ltd.,5.77,132957256.04,,1993.0,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/mags,microcap,896494
CALL,magicJack VocalTec Ltd,8.625,139771799.25,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/call,microcap,1005699
MGYR,"Magyar Bancorp, Inc.",12.36,71944420.56,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/mgyr,microcap,1337068
MJCO,Majesco,7.8,285660359.4,,2015.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mjco,microcap,1626853
MLVF,"Malvern Bancorp, Inc.",24.6,161749403.4,,,Finance,Banks,https://www.nasdaq.com/symbol/mlvf,microcap,1550603
MAMS,"MAM Software Group, Inc.",8.2,103262887.0,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mams,microcap,832488
LOAN,"Manhattan Bridge Capital, Inc",6.55,62528834.85,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/loan,microcap,1080340
MNTX,"Manitex International, Inc.",10.88,213318915.84,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mntx,microcap,1302028
MNKD,MannKind Corporation,1.12,171346971.04,,2004.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mnkd,microcap,899460
MCHX,"Marchex, Inc.",2.73,114067557.24,,2004.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/mchx,microcap,1224133
MRNS,"Marinus Pharmaceuticals, Inc.",5.8,235045075.4,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mrns,microcap,1267813
